City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Alice Springs,AU,-23.7,133.8833,92.75,29,94,6.91,overcast clouds
206,Saldanha,ZA,-33.0117,17.9442,64.45,95,41,7.4,scattered clouds
207,Djenne,ML,13.9061,-4.5533,71.6,14,100,8.5,overcast clouds
208,Apiai,BR,-24.5094,-48.8425,60.96,100,100,1.5,overcast clouds
209,Shimoda,JP,34.6667,138.95,55.51,61,93,10.58,overcast clouds
210,Guilin,CN,25.2819,110.2864,53.71,49,0,1.03,clear sky
211,Rzhaksa,RU,52.1338,42.0264,-8.3,99,67,7.05,broken clouds
212,Saint-Augustin,CA,51.226,-58.6502,18.23,78,100,18.86,overcast clouds
213,Rock Springs,US,41.5875,-109.2029,31.44,40,20,9.22,few clouds
214,Leigh,GB,53.4833,-2.5167,43.23,94,100,4.0,overcast clouds
215,Deputatskiy,RU,69.3,139.9,-22.72,96,99,5.32,overcast clouds
216,Ayan,RU,56.45,138.1667,-17.72,69,28,13.29,scattered clouds
217,Kaspiysk,RU,42.8816,47.6392,24.98,62,20,0.0,few clouds
218,Makushino,RU,55.2103,67.2442,1.72,95,87,6.46,overcast clouds
219,Hofn,IS,64.2539,-15.2082,33.98,69,100,19.42,overcast clouds
220,Pilar,BR,-9.5972,-35.9567,78.73,84,98,6.22,overcast clouds
221,Ust-Uda,RU,54.1742,103.0304,-19.08,91,6,1.79,clear sky
222,Palana,RU,59.1167,159.9667,6.21,82,100,15.55,overcast clouds
223,Sayyan,YE,15.1718,44.3244,46.81,37,4,1.52,clear sky
224,Moose Factory,CA,51.2585,-80.6094,-11.2,77,1,9.22,clear sky
225,Pinerolo,IT,44.8833,7.35,39.96,77,100,1.01,overcast clouds
226,Veraval,IN,20.9,70.3667,68.18,75,0,5.26,clear sky
227,Rayevskiy,RU,54.0658,54.9468,11.41,96,100,5.75,light snow
228,San-Pedro,CI,4.7485,-6.6363,77.94,85,19,0.2,few clouds
229,Raudeberg,NO,61.9875,5.1352,36.27,96,66,1.01,broken clouds
230,Ngong,KE,-1.3618,36.6566,60.78,92,97,6.53,overcast clouds
231,Cidreira,BR,-30.1811,-50.2056,68.58,75,0,9.71,clear sky
232,Nadym,RU,65.5333,72.5167,21.6,91,100,24.7,overcast clouds
233,Maragogi,BR,-9.0122,-35.2225,78.04,85,87,6.82,overcast clouds
234,Waingapu,ID,-9.6567,120.2641,88.88,65,72,8.77,broken clouds
235,Callaway,US,30.153,-85.5699,54.91,76,1,1.99,clear sky
236,Egvekinot,RU,66.3167,-179.1667,-11.51,96,100,14.2,light snow
237,Kamyaran,IR,34.7956,46.9355,26.55,90,42,3.33,scattered clouds
238,Kargasok,RU,59.0556,80.8572,8.26,89,96,15.61,overcast clouds
239,Alexandria,EG,31.2156,29.9553,53.56,87,40,4.61,scattered clouds
240,Pisco,PE,-13.7,-76.2167,66.25,88,0,11.5,clear sky
241,Sitka,US,57.0531,-135.33,28.29,50,1,4.61,clear sky
242,Kibre Mengist,ET,5.8833,38.9833,53.67,85,99,3.0,overcast clouds
243,Chicama,PE,-7.8447,-79.1469,64.94,84,23,4.7,few clouds
244,Soyo,AO,-6.1349,12.3689,78.17,88,100,7.14,overcast clouds
245,Dzilam Gonzalez,MX,21.2833,-88.9333,65.73,70,5,3.98,clear sky
246,Balkanabat,TM,39.5108,54.3671,42.08,76,96,4.65,overcast clouds
247,Poum,NC,-20.2333,164.0167,81.03,76,8,7.25,clear sky
248,Havoysund,NO,70.9963,24.6622,16.68,67,100,27.89,light snow
249,Isangel,VU,-19.55,169.2667,84.31,79,75,2.3,broken clouds
250,Fougamou,GA,-1.2154,10.5838,74.39,98,99,1.5,light rain
251,Byron Bay,AU,-28.65,153.6167,86.11,72,94,9.17,light rain
252,Novovarshavka,RU,54.1721,74.6946,31.01,96,100,8.5,overcast clouds
253,Banda Aceh,ID,5.5577,95.3222,80.26,74,100,7.02,overcast clouds
254,Grand Gaube,MU,-20.0064,57.6608,78.39,86,100,3.0,light rain
255,Ponta Delgada,PT,37.7333,-25.6667,63.32,67,75,27.63,broken clouds
256,Vila,PT,42.0304,-8.1588,49.33,85,100,5.46,light rain
257,Coquimbo,CL,-29.9533,-71.3436,60.53,82,0,4.61,clear sky
258,Lahaina,US,20.8783,-156.6825,74.44,91,96,12.77,overcast clouds
259,Yulara,AU,-25.2406,130.9889,84.04,42,75,6.91,broken clouds
260,Basco,PH,20.4487,121.9702,77.61,78,77,17.49,broken clouds
261,Ponta Do Sol,PT,32.6667,-17.1,67.01,88,100,5.77,overcast clouds
262,Shingu,JP,33.7333,135.9833,54.59,52,0,3.18,clear sky
263,Almenara,BR,-16.1836,-40.6944,71.01,98,97,2.42,overcast clouds
264,Den Helder,NL,52.9599,4.7593,35.58,80,90,5.75,overcast clouds
265,Senanga,ZM,-16.1167,23.2667,66.72,89,98,4.12,overcast clouds
266,Christchurch,NZ,-43.5333,172.6333,67.91,60,75,7.0,broken clouds
267,Tuatapere,NZ,-46.1333,167.6833,60.82,50,84,12.48,broken clouds
268,Kalmunai,LK,7.4167,81.8167,77.45,74,90,7.63,overcast clouds
269,Jumla,NP,29.2747,82.1838,40.73,33,0,0.4,clear sky
270,Zambezi,ZM,-13.5432,23.1047,64.17,98,97,6.31,overcast clouds
271,Road Town,VG,18.4167,-64.6167,78.84,89,20,10.36,few clouds
272,Tiznit,MA,29.5833,-9.5,58.68,58,4,1.28,clear sky
273,Jandaia Do Sul,BR,-23.6031,-51.6433,81.25,61,44,4.54,scattered clouds
274,Zalari,RU,53.5584,102.5065,-20.51,95,12,4.25,few clouds
275,Constitucion,CL,-35.3333,-72.4167,55.58,90,60,6.29,broken clouds
276,Ushumun,RU,52.7833,126.5333,-20.72,64,12,8.48,few clouds
277,Salta,AR,-24.7859,-65.4117,70.09,88,90,1.99,overcast clouds
278,College,US,64.8569,-147.8028,2.28,82,90,3.44,overcast clouds
279,Alta Floresta,BR,-9.8756,-56.0861,71.73,100,100,2.73,moderate rain
280,Muncar,ID,-8.4333,114.3333,86.16,67,99,2.68,overcast clouds
281,Natal,BR,-5.795,-35.2094,80.82,89,40,3.44,scattered clouds
282,Kloulklubed,PW,7.0419,134.2556,84.7,73,70,7.38,broken clouds
283,Hualmay,PE,-11.0964,-77.6139,68.49,85,58,6.33,broken clouds
284,Labuhan,ID,-6.8844,112.2051,86.02,66,96,4.56,overcast clouds
285,Sarkhej,IN,22.9833,72.5,53.73,87,1,0.0,mist
286,Baghdad,IQ,33.3406,44.4009,49.91,66,0,6.91,clear sky
287,Carnarvon,AU,-24.8667,113.6333,80.67,65,40,18.41,scattered clouds
288,Souillac,MU,-20.5167,57.5167,78.37,94,75,8.05,broken clouds
289,Nizhniy Baskunchak,RU,48.2198,46.8311,12.4,75,51,12.26,broken clouds
290,Dunedin,NZ,-45.8742,170.5036,60.04,63,100,7.38,overcast clouds
291,Lazaro Cardenas,MX,17.9583,-102.2,76.05,83,2,3.6,clear sky
292,Imeni Poliny Osipenko,RU,52.4201,136.4853,-11.85,92,100,4.29,overcast clouds
293,Smoky Lake,CA,54.1169,-112.4686,11.48,85,100,9.22,light snow
294,Acarau,BR,-2.8856,-40.12,79.99,81,52,13.33,broken clouds
295,Celestun,MX,20.8667,-90.4,69.82,65,0,9.53,clear sky
296,Srednekolymsk,RU,67.45,153.6833,-23.84,98,100,7.61,overcast clouds
297,Aykhal,RU,66.0,111.5,-21.69,99,5,5.59,clear sky
