City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
490,Presidencia Roque Saenz Pena,AR,73.29,broken clouds,-26.7852,-60.4388,Hotel Aconcagua
492,Moron,AR,77.99,broken clouds,-34.6534,-58.6198,Hotel Morón
493,Phan Thiet,VN,81.75,few clouds,10.9333,108.1,Hotel Saigon-PT
496,Ahipara,NZ,72.41,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
498,Myanaung,MM,70.86,clear sky,18.2833,95.3167,Taung Hlay Khar
499,Champerico,GT,81.36,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
501,Whithorn,JM,76.26,clear sky,18.2604,-78.0378,Sunset Heal
503,Sinnamary,GF,77.77,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
504,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
506,Kuala Sungai Baru,MY,78.94,moderate rain,2.3594,102.0353,Homestay Villa Suraiya Kuala Sungai Baru Melaka
511,Carutapera,BR,80.19,overcast clouds,-1.195,-46.02,Lidera
512,Kampot,KH,77.05,overcast clouds,10.6167,104.1833,Two Moons Hotel
513,Portobelo,PA,76.96,broken clouds,9.55,-79.65,Scuba Portobelo
514,Eyl,SO,73.81,scattered clouds,7.9803,49.8164,Amiin Hotel
521,Quelimane,MZ,74.08,light rain,-17.8786,36.8883,Hotel Flamingo
522,Ixtapa,MX,73.22,clear sky,20.7,-105.2,Hotel Plaza Providencia
524,Caramay,PH,83.79,overcast clouds,10.1815,119.236,Peace and Love Beach Club
527,Gizo,SB,85.64,moderate rain,-8.103,156.8419,Imagination Island
528,Trairi,BR,80.13,scattered clouds,-3.2778,-39.2689,janelas do mar
530,Mogadishu,SO,78.82,overcast clouds,2.0371,45.3438,Hotel Juba
531,Mingoyo,TZ,78.4,overcast clouds,-10.1,39.6333,CHIMBENDE LODGE
535,Liwale,TZ,70.75,overcast clouds,-9.7667,37.9333,Samoma lodge
537,San Policarpo,PH,81.54,overcast clouds,12.1791,125.5072,Agapita M. Nicart
542,Bentiu,SS,73.2,broken clouds,9.2333,29.8333,Mandela hôtel
544,Calabar,NG,75.88,scattered clouds,4.9517,8.322,NAKS Hotels (Formerly NAF Club)
549,Coahuayana,MX,70.45,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
556,Kawalu,ID,82.24,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
561,Makakilo City,US,77.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
